3,1,e,baylor,,
7,2,e,kentucky,,
11,3,e,purdue,,
15,4,e,ucla,,
19,5,e,saint marys ca,,
23,6,e,texas,,
27,7,e,murray state,,
31,8,e,north carolina,,
35,9,e,marquette,,
39,10,e,san francisco,,
43,11,e,virginia tech,,`
101,12,e,indiana,,
47,12,e,wyoming,,
51,13,e,akron,,
55,14,e,yale,,
59,15,e,saint peters,,
63,16,e,norfolk state,,
4,1,m,kansas,,
8,2,m,auburn,,
12,3,m,wisconsin,,
16,4,m,providence,,
20,5,m,iowa,,
24,6,m,louisiana state,,
28,7,m,southern california,,
32,8,m,san diego state,,
36,9,m,creighton,,
40,10,m,miami fl,,
44,11,m,iowa state,,
48,12,m,richmond,,
52,13,m,south dakota state,,
56,14,m,colgate,,
60,15,m,jacksonville state,,
64,16,m,texas southern,,
102,16,m,texas am corpus christi,,
2,1,s,arizona,,
6,2,s,villanova,,
10,3,s,tennessee,,
14,4,s,illinois,,
18,5,s,houston,,
22,6,s,colorado state,,
26,7,s,ohio state,,
30,8,s,seton hall,,
34,9,s,texas christian,,
38,10,s,loyola il,,
42,11,s,michigan,,
46,12,s,alabama birmingham,,
50,13,s,chattanooga,,
54,14,s,longwood,,
58,15,s,delaware,,
62,16,s,wright state,,
103,16,s,bryant,,
1,1,w,gonzaga,,
5,2,w,duke,,
9,3,w,texas tech,,
13,4,w,arkansas,,
17,5,w,connecticut,,
21,6,w,alabama,,
25,7,w,michigan state,,
29,8,w,boise state,,
33,9,w,memphis,,
37,10,w,davidson,,
104,11,w,rutgers,,
41,11,w,notre dame,,
45,12,w,new mexico state,,
49,13,w,vermont,,
53,14,w,montana state,,
57,15,w,cal state fullerton,,
61,16,w,georgia state,,